product_id,name,price,description,image,category
21,The Dark Side of the Moon,300,Iconic album by Pink Floyd.,uploads/dark_side_of_the_moon.jpg,music
22,Abbey Road,250,The Beatles' last studio album.,uploads/abbey_road.jpg,music
23,Thriller,400,The best-selling album by Michael Jackson.,uploads/thriller.jpg,music
24,Back in Black,350,One of AC/DC's most popular albums.,uploads/back_in_black.jpg,music
25,Rumours,300,Classic album by Fleetwood Mac.,uploads/rumours.jpg,music
26,Hotel California,350,The Eagles' most well-known album.,uploads/hotel_california.jpg,music
27,Nevermind,250,Nirvana's legendary grunge album.,uploads/nevermind.jpg,music
28,The Wall,400,Pink Floyd's concept album.,uploads/the_wall.jpg,music
29,A Night at the Opera,300,One of Queen's most beloved albums.,uploads/a_night_at_the_opera.jpg,music
30,Dark Side of the Moon - 50th Anniversary,450,Special edition for the 50th anniversary.,uploads/dark_side_50th.jpg,music
31,The Joshua Tree,250,One of U2's most iconic albums.,uploads/the_joshua_tree.jpg,music
32,The Best of Bob Marley,200,The best songs from Bob Marley.,uploads/bob_marley_best.jpg,music
33,21,300,Adele's Grammy-winning album.,uploads/adele_21.jpg,music
34,Born to Run,350,The legendary album by Bruce Springsteen.,uploads/born_to_run.jpg,music
35,The Chronic,300,The album that made a mark on hip-hop history by Dr. Dre.,uploads/the_chronic.jpg,music
36,To Pimp a Butterfly,400,Award-winning album by Kendrick Lamar.,uploads/to_pimp_a_butterfly.jpg,music
37,In the Aeroplane Over the Sea,350,Cult album by Neutral Milk Hotel.,uploads/in_the_aeroplane.jpg,music
38,The Eminem Show,250,One of Eminem's most beloved albums.,uploads/the_eminem_show.jpg,music
39,American Idiot,300,Punk rock masterpiece by Green Day.,uploads/american_idiot.jpg,music
40,Graduation,400,Influential album by Kanye West.,uploads/graduation.jpg,music
