product_id,name,price,description,image,category
0,The Beatles - Abbey Road,500,Iconic album by The Beatles,uploads/0,music
1,Pink Floyd - The Dark Side of the Moon,450,Concept album by Pink Floyd,uploads/1,music
2,Michael Jackson - Thriller,400,Best-selling album of all time,uploads/2,music
3,Fleetwood Mac - Rumours,350,Classic rock album,uploads/3,music
4,Nirvana - Nevermind,300,Influential grunge album,uploads/4,music
5,Bob Dylan - Highway 61 Revisited,250,Landmark folk rock album,uploads/5,music
6,Madonna - Like a Virgin,280,Pop icon's defining album,uploads/6,music
7,Queen - A Night at the Opera,320,Progressive rock masterpiece,uploads/7,music
8,Prince - Purple Rain,370,Acclaimed soundtrack album,uploads/8,music
9,The Rolling Stones - Exile on Main St.,430,Rock classic album,uploads/9,music
10,AC/DC - Back in Black,390,Iconic hard rock album,uploads/10,music
11,The Beach Boys - Pet Sounds,350,Landmark album in pop music,uploads/11,music
12,Radiohead - OK Computer,360,Influential alternative rock album,uploads/12,music
13,Elvis Presley - Elvis Presley,400,Debut album of the King,uploads/13,music
14,David Bowie - The Rise and Fall of Ziggy Stardust,340,Classic glam rock album,uploads/14,music
15,Bruce Springsteen - Born to Run,380,Rock album defining a generation,uploads/15,music
16,The Clash - London Calling,330,Punk rock classic,uploads/16,music
17,U2 - The Joshua Tree,420,Landmark rock album,uploads/17,music
18,Whitney Houston - The Bodyguard Soundtrack,450,Best-selling soundtrack album,uploads/18,music
19,Amy Winehouse - Back to Black,410,Acclaimed neo-soul album,uploads/19,music
20,Simon & Garfunkel - Bridge Over Troubled Water,300,Folk rock classic,uploads/20,music
21,The Smiths - The Queen Is Dead,340,Influential indie album,uploads/21,music
22,Jay-Z - The Blueprint,370,Landmark hip-hop album,uploads/22,music
23,Kendrick Lamar - To Pimp a Butterfly,390,Acclaimed modern hip-hop album,uploads/23,music
24,Beyoncé - Lemonade,420,Critically acclaimed visual album,uploads/24,music
25,"Billie Eilish - When We All Fall Asleep, Where Do We Go?",350,Breakthrough pop album,uploads/25,music
26,Taylor Swift - 1989,380,Grammy-winning pop album,uploads/26,music
27,The Cure - Disintegration,340,Landmark album in gothic rock,uploads/27,music
28,Led Zeppelin - IV,400,Classic rock album,uploads/28,music
29,Oasis - (What's the Story) Morning Glory?,370,Britpop landmark,uploads/29,music
30,R.E.M. - Automatic for the People,330,Influential alternative rock album,uploads/30,music
31,Green Day - Dookie,350,Pop punk classic,uploads/31,music
32,Bon Jovi - Slippery When Wet,380,Iconic rock album,uploads/32,music
33,Fleetwood Mac - Tango in the Night,400,Classic rock album,uploads/33,music
34,Pearl Jam - Ten,390,Influential grunge album,uploads/34,music
35,Metallica - Metallica (The Black Album),450,Hard rock classic,uploads/35,music
36,Alanis Morissette - Jagged Little Pill,370,Landmark alternative album,uploads/36,music
37,Coldplay - A Rush of Blood to the Head,390,Acclaimed rock album,uploads/37,music
38,Katy Perry - Teenage Dream,380,Pop sensation album,uploads/38,music
39,Bruno Mars - 24K Magic,400,Modern pop album,uploads/39,music
40,Adele - 21,450,Critically acclaimed album,uploads/40,music
